YEAR,MONTH,DISTRIBUTOR,AREA,RETAILER NAME (R1),ADDRESS R1,REGENCY/DISTRICT,PRODUCT,JENIS PESTISIDA,PACKAGING,VOLUME (L/KG)
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,7.5 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,250 ML,20.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK IDIK),Sukabumi,SUKABUMI,ADORE 200 SC,Fungisida,100 ML,15.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK IDIK),Sukabumi,SUKABUMI,AVJUNSU 18 EC,Insektisida,250 ML,50.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK IDIK),Sukabumi,SUKABUMI,AVJUNSU 18 EC,Insektisida,500 ML,20.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK IDIK),Sukabumi,SUKABUMI,ET-TRAZOL 250 SC,Zat Pengatur Tumbuh,250 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,MINI JAYA TANI (BPK TARMIN),"Bojen, Pandeglang",PANDEGLANG,ET-UPSTAR 480 SL,Herbisida,1 L,100.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,MASTANI (SONNY),Serang,SERANG,AVJUNSU 18 EC,Insektisida,1 L,30.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,ADORE 200 SC,Fungisida,100 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,ADORE 200 SC,Fungisida,250 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,GAHU MEKAR (BPK DONI),"Bojong, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,RIZKI TANI (BPK DEDE),"Bayah, Lebak",LEBAK,BALTIKO 68/2 WP,Insektisida,100 GR,2.5 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SRI MULYA TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,100 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SAHABAT TANI (H. UDIN),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,250 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SAHABAT TANI (H. UDIN),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SAHABAT TANI (H. UDIN),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,1 L,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SINAR JAYA TANI (BPK ADUL),Sukabumi,SUKABUMI,ADORE 200 SC,Fungisida,100 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK YANI),"Ciruas, Serang",SERANG,TRAVERSA 20/60 WG,Insektisida,100 GR,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZAKI TANI (BPK DEDEN),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,250 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZAKI TANI (BPK DEDEN),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZAKI TANI (BPK DEDEN),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,1 L,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZAKI TANI (BPK DEDEN),"Ciruas, Serang",SERANG,TRAVERSA 20/60 WG,Insektisida,100 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,MASTANI (SONNY),Serang,SERANG,TRAVERSA 20/60 WG,Insektisida,100 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,GEMUH TANI (BPK MUKHSIN),"Tirtayasa, Serang",SERANG,ADORE 200 SC,Fungisida,250 ML,2.5 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,ET-PRORICE 400 SC,Herbisida,100 ML,5.0 
